payment_id,order_id,payment_date,payment_amount,payment_method,payment_status
5613f6af-53cc-46b7-a532-a388055c6995,3518bcc6-fbd5-469d-a3c1-3ee4961c9dbd,2024-05-16,401.18,paypal,completed
2b3f3fc4-facd-49e1-b190-02adca7d5e8b,303e6532-25c9-4c1e-9297-557fd37415f6,2023-03-19,293.31,paypal,completed
93d563bc-5f20-4b67-9998-93e832eede5a,22e4cbe6-169b-4c02-b3f3-c17342d15fed,2023-11-04,36.23,credit card,completed
cb2192b6-7aaa-4cd4-aae0-90b50ef57be9,6f3c08c4-c069-4d08-987b-cc00bca479cd,2021-07-17,61.33,paypal,failed
f90a2849-702a-41a9-b663-28814ea36844,b4b59833-c1d8-4e5d-916c-6849d0cdef16,2020-04-28,187.84,paypal,completed
b292d3cc-12ff-4391-98d0-75f794425d84,69a6e30e-c194-45c6-b806-e8a93a410b0a,2023-10-04,50.36,credit card,pending
b56adedf-df4a-4548-b71f-8a42ebad658e,62ff4cc5-fc6f-4060-871b-2d0c22e16c10,2021-11-11,348.73,bank transfer,failed
2afb4a6b-c109-4bce-a5ea-8df6523f62ea,9e502873-c481-4334-81a0-f94238d7a510,2022-03-31,37.47,bank transfer,failed
a78b1cd7-8a38-47bf-aac9-e1f175b7ceec,5dc8a190-756f-48cc-a5fa-2c70144296f2,2020-10-02,141.24,credit card,completed
dc977311-6e72-4f0e-99a2-a84ea6811ff7,ff80ec6a-6af3-4901-8af4-0a5f3264d90c,2022-11-13,475.79,paypal,pending
aff1538a-26e5-4f59-ac2c-f13c16b66df9,bf11e1ce-0fed-471f-891f-520214316d10,2020-03-19,401.95,credit card,completed
848e5a46-0105-47b5-b738-81722abdc340,6d2e3351-68c2-4e5f-86a9-19f0af5bb7ad,2021-06-02,472.14,bank transfer,failed
29c61c5d-34bd-4785-96d8-cac15e00b670,0bc19b5a-6fd9-4f40-bb7b-ce8452ed349d,2023-11-20,487.81,credit card,pending
98367ed4-9e2d-4dce-b180-5f29991b7be4,0e64a4c6-c067-4309-a49b-3597fbcf13e7,2021-01-17,121.84,bank transfer,pending
bbf3a6ea-2d1c-439b-9ff6-8d72bd837645,2ba5f585-96b0-44fe-91dd-72c70fcc32d9,2022-08-03,318.64,credit card,completed
3a83adce-992d-408f-bd3f-631ec55f53db,8cd6def1-2feb-4778-8e7c-3d18d1245917,2021-07-14,443.39,credit card,completed
7d0096d9-8a0a-4507-b6d4-5075de4e4f9e,1ac86c52-2fa4-4c08-9b75-6da5b68ae87e,2020-01-13,441.16,paypal,failed
c141d8b2-d7b5-47a9-be9b-229ddfd030df,5872ebd9-732d-4e34-8f0d-f404d210ff7e,2022-12-22,209.8,credit card,failed
9db0f445-066d-42b5-9203-a64fc0d8a632,44004d71-cfa3-40bd-8b6a-bbf00616a105,2021-03-10,427.16,credit card,failed
7b536b2d-d69c-4371-b78b-452e9168d095,e09758c1-0678-4c08-b902-8793af216f4b,2023-06-25,448.74,credit card,completed
06a12357-8492-4dcb-9e3d-3d62ce143bd1,79b7dc8a-494b-482b-8f22-2a690fe73f67,2021-06-05,43.29,bank transfer,pending
061d1424-cbe5-4f7f-a3a8-de3825593471,aabe2492-ab47-4bbe-8970-0f3c5224e3cc,2022-01-29,138.61,bank transfer,failed
166e2ed7-f7cf-423e-bca4-8a156758fa7d,01cb74b5-d2f9-4855-ab2f-789754ea4eb3,2020-12-31,463.64,credit card,completed
a63e5f41-a1f0-4261-86a2-38f884d99edb,f5ee5e30-9eb9-4d0f-8eb0-91909d533d8b,2022-08-16,159.98,credit card,pending
c015957a-cdbd-4d69-951e-026878345009,acfd7bdd-96fe-4743-bcf1-26f0f242c940,2020-03-22,173.99,bank transfer,completed
ebf0dd39-3599-436b-b3d5-95b006c8e56a,a648e762-b3c6-42c1-8f59-14080e3009fc,2023-02-15,141.99,paypal,completed
c27e8ab1-e634-4b6a-bee2-7b2e309442ab,92bf9b79-4aff-45de-8132-44d970732e2f,2023-09-07,415.87,bank transfer,completed
a435fff1-1666-48c0-9fa3-ea05e147d07f,80467055-8bcc-49e6-9789-6e8fce318805,2023-07-24,21.11,paypal,pending
b9e92bf3-de48-48d2-87ad-b35c7b60989e,6641eb92-de9c-47b5-85d3-f741b21ca976,2021-10-17,46.04,paypal,failed
b5cdfa64-308e-42a5-b11a-b89ff647817d,d09ce9b3-60a5-414c-9ce7-1ce1de8b25ae,2021-03-12,461.75,bank transfer,completed
e134776c-7586-4d88-8d33-2a15244582d9,989591a5-f456-4638-825c-a7d303db8e85,2023-11-22,472.15,bank transfer,failed
fc43d7c2-b4da-4f92-aa2c-17a15d917aad,9475897c-7cdb-4ec6-93df-859c4da66c7c,2023-02-26,33.77,credit card,pending
df4a19bb-d855-4614-890d-dc62e4b8a2d2,7480b553-23ba-426e-b7a9-a54f65bc0eca,2024-03-08,302.21,credit card,failed
c16a4c40-4d31-4ab2-87f8-01e1ec227d99,6a89d616-2f2d-41b9-859a-21a9703e51eb,2020-09-20,140.64,paypal,pending
8476219d-348c-49cc-a946-1524fb2f9ec2,4d66ddaa-37d6-4c7b-823d-69a2364a9a26,2021-11-17,221.33,credit card,pending
5dea832c-ae1c-44c1-9044-5f0c02e644ea,798f119d-9076-469c-a44a-c7053be68fb3,2023-02-07,456.82,paypal,pending
f2d06d56-68c5-4aea-82ee-e390e55e521a,61951091-a7c4-4026-b308-ee6bb3dfdd8c,2021-07-18,161.83,paypal,completed
fb45731d-52bf-42b0-afa5-d9ecbd52f91c,f4ea53f5-27b4-4e5d-b094-92601e4a77ce,2021-02-22,140.32,credit card,pending
1983e4ac-abe8-43e1-9b63-b9ea3a7e08dc,2fefc841-c715-4649-880e-2558492b1e19,2021-02-10,433.13,credit card,pending
c71845c1-24f0-42b2-879a-12f0b8a07e22,4fa83265-4bbf-4c44-88b0-29c9793f8c19,2020-02-07,438.98,bank transfer,failed
d6195152-7da1-4313-914f-2124d51ca273,38b07875-f21c-4776-b54f-7b8e8fef4aef,2023-08-28,252.62,credit card,failed
3479af3a-02b4-4a00-8a2b-6d6d5dc512a9,ffff4a3e-3969-444f-a653-f5f5cb2da2e4,2020-03-30,248.55,paypal,completed
f5342b89-6bb7-45ed-9ed3-bb80f4018f33,e4fd68c1-4a93-40ad-b9be-a2d005f6dbd8,2020-01-04,261.52,paypal,pending
08209368-23fb-4340-bed9-a9798b13c9fe,f584a0b6-22b0-41da-a7e4-e0ffba6c9bcd,2022-01-07,397.7,paypal,failed
ab1ea1a1-67a8-41e4-8bc6-32c0f9e8b9d3,2d7d89df-8cd0-4c2b-a5a4-9254ffa78ef2,2022-01-01,414.53,credit card,pending
351e2f92-4e3f-448a-8751-b0774b0f01fd,53145205-4b77-46e9-bdaa-0f3ae4b206bb,2023-06-10,187.7,bank transfer,completed
04b5d4a5-bc56-4f19-896b-8150cc264762,c726f1ee-ef28-48d7-a665-3df4d1f25721,2022-10-22,285.92,bank transfer,pending
1013ed7d-7c36-47f3-b8a4-836346093357,8f3a41ab-b318-4e52-9668-515a039605c7,2022-12-08,455.69,credit card,failed
c24477dd-1950-4bb9-8e3a-dd128dc2111c,486bf976-29c5-4698-b35e-5035112375a9,2023-06-29,203.74,bank transfer,failed
74541114-03f4-45c9-8f8b-d126c1ab2d69,7c099dac-0171-4a8f-a89f-0eb8b36365f6,2024-10-07,425.89,paypal,completed
91b77e20-872d-43ba-9ee6-e4fef8596099,5a3f123a-80d0-4265-a1d7-7ae84812393a,2023-11-02,139.06,paypal,completed
17634431-46d7-4585-9cb8-049f7f04a5e4,06208284-0592-4bac-9037-9bad7c9f8386,2023-12-05,153.0,paypal,failed
